Date,Cases,Deaths,CFR (%),Attack Rate (per 1000),Bulletin Type,Bulletin URL,NewCases,NewDeaths
2017-05-22,35471,361,0.0101773279580502,1.19,Epidemiology bulletin,http://www.emro.who.int/images/stories/yemen/Yemen_epi_bulletin_1.pdf?ua=1,2154,26
2017-05-23,37625,387,0.0102857142857143,1.27970322431395,NA,NA,2995,26
2017-05-24,40620,413,0.0101674052191039,1.36750583630219,NA,NA,3550,20
2017-05-25,44170,433,0.00980303373330315,1.49091444961542,NA,NA,3998,19
2017-05-26,48168,452,0.00938382328516858,1.61713025895953,NA,NA,3972,19
2017-05-27,52140,471,0.00903337169159954,1.76,Epidemiology bulletin,http://www.emro.who.int/images/stories/yemen/Yemen_epi_bulletin_20170527.pdf?ua=1,4006,19
2017-05-28,56146,490,0.00872724682078866,1.90104853025493,NA,NA,4723,20
2017-05-29,60869,510,0.00837864923031428,2.04825968980937,NA,NA,4488,22
2017-05-30,65357,532,0.00813990850253225,2.2,Epidemiology bulletin,http://www.emro.who.int/images/stories/yemen/Yemen_epi_bulletin_20170530.pdf?ua=1,4587,26
2017-05-31,69944,558,0.00797781082008464,2.35470571594271,NA,NA,4111,27
2017-06-01,74055,585,0.00789953413003848,2.48479934324597,NA,NA,4507,31
2017-06-02,78562,616,0.00784094091290955,2.63158790336394,NA,NA,4080,32
2017-06-03,82642,648,0.00784104934536918,2.77023359473236,NA,NA,3780,33
2017-06-04,86422,681,0.00787993797875541,2.91,Epidemiology bulletin,http://www.emro.who.int/images/stories/yemen/Yemen_epi_bulletin_20170604.pdf?ua=1,4133,32
2017-06-05,90555,713,0.00787366793661311,3.05438296895893,NA,NA,5253,37
2017-06-06,95808,750,0.00782815631262525,3.23329386337987,NA,NA,6012,44
2017-06-07,101820,794,0.00779807503437439,3.43,Epidemiology bulletin,http://www.emro.who.int/images/stories/yemen/Yemen_epidemiology_bulletin_5_5-7_June_2017.pdf?ua=1,8168,55
2017-06-08,109988,849,0.00771902389351566,3.70367196213863,NA,NA,8457,44
2017-06-09,118445,893,0.00753936426189371,3.97648313448713,NA,NA,5557,30
2017-06-10,124002,923,0.0074434283318011,4.18,Weekly Epidemiology bulletin,http://www.emro.who.int/images/stories/yemen/Yemen_epi_bulletin_week_23.pdf?ua=1,2372,9
2017-06-11,126374,932,0.00737493471758431,4.25333384141708,NA,NA,2811,10
2017-06-12,129185,942,0.00729186825095793,4.36,Daily Epidemiology update,http://www.emro.who.int/images/stories/yemen/Yemen_epi_d_update_20170613.pdf?ua=1,6022,32
2017-06-13,135207,974,0.00720376903562685,4.56,Daily Epidemiology update,http://www.emro.who.int/images/stories/yemen/Yemen_epi_d_update_20170614.pdf?ua=1,4909,15
2017-06-14,140116,989,0.00705843729481287,4.73,Daily Epidemiology update,http://www.emro.who.int/images/stories/yemen/Yemen_epi_d_update_20170615.pdf?ua=1,4971,25
2017-06-15,145087,1014,0.00698891010221453,4.87915041437816,NA,NA,5962,38
2017-06-16,151049,1052,0.00696462737257446,5.07921059838204,NA,NA,7911,48
2017-06-17,158960,1100,0.00691997986914947,5.36,Daily Epidemiology update,http://www.emro.who.int/images/stories/yemen/Yemen_epi_d_update.18.6.2017.pdf?ua=1,8016,46
2017-06-18,166976,1146,0.00686326178612495,5.63,Weekly Epidemiology bulletin,http://www.emro.who.int/images/stories/yemen/Yemen_epi_bulletin.19.6.17.pdf?ua=1,5310,24
2017-06-19,172286,1170,0.00679103351404061,5.8,Daily Epidemiology update,http://www.emro.who.int/images/stories/yemen/documents/Yemen_epi_d_update.20.6.2017.pdf?ua=1,7262,35
2017-06-20,179548,1205,0.00671129725755787,6.1,Daily Epidemiology update,http://www.emro.who.int/images/stories/yemen/Yemen_epi_d_update_20170621.pdf?ua=1,5753,28
2017-06-21,185301,1233,0.0066540385642819,6.2,Daily Epidemiology update,http://www.emro.who.int/images/stories/yemen/Yemen_epi_d_update.22.06.17.pdf?ua=1,7682,32
2017-06-22,192983,1265,0.00655498152687024,6.5,Daily Epidemiology update,http://www.emro.who.int/images/stories/yemen/Yemen_epi_d_update.23.06.17.pdf?ua=1,7437,45
2017-06-23,200420,1310,0.00653627382496757,6.8,Daily Epidemiology update,http://www.emro.who.int/images/stories/yemen/Yemen_epi_d_update_20170624.pdf?ua=1,7783,34
2017-06-24,208203,1344,0.00645523839714125,7,Daily Epidemiology update,http://www.emro.who.int/images/stories/yemen/Yemen_epi_d_update_20170625.pdf?ua=1,4014,24
2017-06-25,212217,1368,0.00644623192298449,7.2,Weekly Epidemiology bulletin,http://www.emro.who.int/images/stories/yemen/Yemen_epi_bulletin_20170626.pdf?ua=1,6581,32
2017-06-26,218798,1400,0.0063985959652282,7.4,Daily Epidemiology update,http://www.emro.who.int/images/stories/yemen/Yemen_epi_d_update_20170627.pdf?ua=1,6191,16
2017-06-27,224989,1416,0.00629364102244999,7.6,Daily Epidemiology update,http://www.emro.who.int/images/stories/yemen/Yemen_epi_d_update_20170628.pdf?ua=1,6375,23
2017-06-28,231364,1439,0.00621963658996214,7.8,Daily Epidemiology update,http://www.emro.who.int/images/stories/yemen/Yemen_epi_d_update_20170629.pdf?ua=1,8063,36
2017-06-29,239427,1475,0.00616054162646652,8.1,Daily Epidemiology update,http://www.emro.who.int/images/stories/yemen/Yemen_epi_d_update_20170630.pdf?ua=1,7440,42
2017-06-30,246867,1517,0.00614500925599614,8.3,Daily Epidemiology update,http://www.emro.who.int/images/stories/yemen/Yemen_epi_d_update_20170701.pdf?ua=1,5949,43
2017-07-01,252816,1560,0.00617049553825707,8.5,Daily Epidemiology update,http://www.emro.who.int/images/stories/yemen/Yemen_epi_d_update_20170702.pdf?ua=1,9834,27
2017-07-02,262650,1587,0.0060422615648201,8.9,Weekly Epidemiology bulletin,http://www.emro.who.int/images/stories/yemen/Yemen_epi_bulletin_20170703.pdf?ua=1,6958,27
